sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa::00814,Mike's dog had fleas. The dog lived in the house with Mike. Mike had bite marks on his legs. Mike realized he had gotten bitten by fleas.,0.0,content_diversity,he relocates the dog outside,he decides to move the dog outside,the dog was moved outside,the dog was relocated outside,he has to relocate the dog to the yard,-0.173,0.825,-0.614,1.796,0.359,4.936,0.987,-0.713,8.016,0.501
test.sa-sb.sa::00815,Brad has graduated high school. His summer passes by so quickly. It's time for him to head off to college. He says goodbye to his old friends and family.,1.0,content_diversity,It turns out his family are glad to see the back of him as he is a nasty piece of work.,Brad cries as he drives away as he is so sad to be leaving.,Brad lied about graduating and has no idea where he is going as he didn't get into any college.,Brad has no intention of going to college and is so depressed he plans to kill himself.,Brad decides college isnt for him and keeps driving until he reaches Hollywood and tries to become an actor.,-0.073,0.912,-0.266,2.039,0.408,4.823,0.965,-0.413,24.140,0.549
test.sa-sb.sa::00815,Brad has graduated high school. His summer passes by so quickly. It's time for him to head off to college. He says goodbye to his old friends and family.,0.0,content_diversity,Brads mum throws a party that night as she is so pleased her son is out of her life.,"A big sign is hung outside Brads house which reads ""praise be, the boy has gone"".",Once Brad is out of sight his girlfriend stops crying and has a big smile on her face.,Champagne corks pop as Brads family celebrate he not being around anymore.,Brads brother throws all of Brads stuff in the trash and claims the bedroom as his own.,-0.037,0.938,-0.185,2.071,0.414,4.965,0.993,-0.442,29.752,0.595
test.sa-sb.sa::00816,Ben is sitting down eating his lunch at school. A kid comes over to Ben and dumps his food on his head. Ben gets up and starts throws his food at the kid. Everyone starts throwing food at each other.,1.0,content_diversity,it was a food fight,it was a fun way to spend lunch,the teacher break up the fight,it was a mess,we wasted so much food,-0.087,0.879,-0.294,2.357,0.471,4.558,0.912,-0.223,9.982,0.768
test.sa-sb.sa::00817,Craig is in a foreign country for work. He doesn't speak the language. He barely knows how to get to his hotel room. When in his hotel he meets a man who speaks english.,1.0,content_diversity,Craig is overwhelmed with gratitude to have someone to talk to.,He asks the man to help interpret for him to talk to a woman.,Craig asks the man if he would like to go to dinner.,Craig grows suspicious of the man thinking he could be a spy.,The man refuses to speak to Craig not wanting to be relied on.,-0.091,0.901,-0.318,2.133,0.427,4.990,0.998,-0.273,17.031,0.473
test.sa-sb.sa::00818,"Steve parked the minivan on the hill. He got out and began chatting with a neighbor. The minivan began to slowly roll down the hill. By the time Steve noticed, it was too late.",0.0,content_diversity,"Steve's child was still in the van screaming ""Daddy!""",Steve had forgotten about his toddler in the carseat in the van.,As the van rolled you could hear the screams echo.,Steve's neighbor pointed to the van and yelled.,Steve realized what he had done and ran toward the van.,-0.091,0.904,-0.299,2.083,0.417,4.995,0.999,-0.493,20.771,0.561
test.sa-sb.sa::00819,My violin teacher makes me play scales. I think scales are boring. She tells me that they help me improve my technique. I am spending more time playing scales to make her happy.,1.0,content_diversity,It turns out that she was right and I became a much better violin player.,I ended up getting a new teacher because I got tired of playing scales to make her happy.,I now play scales a lot without being told because they keep improving my technique.,I told my teacher I wouldn't play scales anymore and she told me to find a new teacher.,I decided to quit playing the violin because I couldn't stand doing the same thing over and over.,-0.060,0.916,-0.316,2.113,0.423,4.976,0.995,-0.356,25.455,0.542
test.sa-sb.sa::00819,My violin teacher makes me play scales. I think scales are boring. She tells me that they help me improve my technique. I am spending more time playing scales to make her happy.,0.0,content_diversity,"I realized that if I had to do the same thing so many times, it meant I wasn't really catching on.",I decided to find another instrument that was more to my liking like the piano.,I tried a few other instruments and they were all more fun than doing repetitive things on the violin.,I tried hard to keep playing but in the end I quit because I was bored to tears playing the scale repeatedly.,I think my teacher was glad I quit playing the violin because I complained so much about the repetitiveness.,-0.074,0.920,-0.337,2.081,0.416,4.986,0.997,-0.364,26.811,0.571
test.sa-sb.sa::00820,The man turned it on. It did not respond. The man unplugged it. He took it apart.,1.0,content_diversity,The man liked to fix things and find out how everything works.,The man was always tinkering with stuff and could fix just about everything.,The man started out fixing things as a child and has never stopped.,"The man never batted an eyelash, he just fixed it right away.",The man was glad it didn't respond so he could take it apart and see what was up.,-0.073,0.913,-0.338,1.747,0.349,4.849,0.970,-0.529,25.047,0.596
test.sa-sb.sa::00821,"I believed my stuffed animals were real. I laid in bed at night staring at them in case they moved. I knew if I closed my eyes, they would start walking. I lined them up on shelves so I could always see them.",0.0,content_diversity,It was silly of me to believe this.,"Every morning, they were always in the same place.",I never found any evidence of them moving when I wasn't looking.,The only time I actually saw them walking was in a dream.,I never caught them walking around.,-0.032,0.948,-0.264,2.445,0.489,4.857,0.971,-0.338,10.348,0.383
test.sa-sb.sa::00822,Joy had always wanted to see the Grand Canyon. Her daughter recently moved to Phoenix and volunteered to drive. Joy flew to Phoenix. The two drove up to the Grand Canyon and saw it's majesty.,0.0,content_diversity,Having auto trouble didn't make Joy or her daughter regret their vacation.,Joy didn't mind having the car break down at all because she got 2 extra days with her daughter.,Joy and her daughter had a lot of fun in the town that the car broke down so they didn't care.,Joy's daughter was really upset about taking two days longer to get home because she had to work.,Joy and her daughter ran out of money and had to use their credit cards after the car broke down.,-0.074,0.890,-0.310,2.128,0.426,4.967,0.993,-0.544,27.091,0.511
test.sa-sb.sa::00823,Lance was ready to make it on the baseball team. He was currently in his try out. He needed to put on a good performance. Lance was going to prove he belong.,1.0,content_diversity,He performs very well.,he did not perform well,the team was glad to have him,he did not belong though,he did not like it in the end and decide to play basketball instead.,-0.069,0.906,-0.309,2.030,0.406,4.830,0.966,-0.275,9.988,0.624
test.sa-sb.sa::00823,Lance was ready to make it on the baseball team. He was currently in his try out. He needed to put on a good performance. Lance was going to prove he belong.,0.0,content_diversity,he did exceptionally well,he is very good,the team was impressed with his performance,he plays extremely well,he performed fantastically,-0.037,0.964,-0.492,2.726,0.545,4.811,0.962,-0.794,10.098,0.918
test.sa-sb.sa::00824,Sherrie wanted to go to the beach. She did not own a car. Sop she called a friend to ask if they wanted to go. The friend agreed to drive her to the beach.,1.0,content_diversity,she was so happy,she enjoy her trip very much,she was glad she went on the trip,the friend later back out on the promise,she treat her friend to lunch,-0.053,0.916,-0.236,2.453,0.491,4.796,0.959,-0.453,11.136,0.795
test.sa-sb.sa::00827,Ted is visiting his doctor. At the doctor he receives news. The doctor tells Ted he has cancer. The doctor gives him 6 months to live.,1.0,content_diversity,Ted knew there was something wrong but he wasn't ready for this news.,Ted immediately thought about his family and how they were going to take the news.,Ted started thinking about everything he needed to do to make things easier for his family.,Ted said he still wanted to try some form of treatment if only to live a few more months.,Ted wanted to keep the news from his family for a few days until he came to grips with it.,-0.063,0.925,-0.306,1.988,0.398,4.951,0.990,-0.490,21.077,0.468
test.sa-sb.sa::00828,The man stole a watch from his friend. He wore the watch out on the town. His friend recognized the watch. He asked to have it back.,1.0,content_diversity,The man was so embarrassed he didn't know what to say so he left.,The man tried to apologize but his friend wanted nothing to do with it.,The man said he found it in his car but his friend knew that wasn't true.,The man was punched in the nose after he returned the watch.,The man knew he deserved to be embarrassed for being a jerk but his friend just walked away.,-0.090,0.886,-0.364,1.814,0.363,4.964,0.993,-0.395,17.577,0.463
test.sa-sb.sa::00828,The man stole a watch from his friend. He wore the watch out on the town. His friend recognized the watch. He asked to have it back.,0.0,content_diversity,The man thought his friend would make a scene but he didn't.,The man was expecting his friend to yell at him but the friend had too much class.,The friend told him he was disappointed when the man returned the watch.,The man was ready for his friend to make an example of him but the friend never did.,The man told his friend to wait to make a scene because of his girlfriend and the friend did.,-0.135,0.835,-0.485,1.565,0.313,4.857,0.971,-0.557,20.286,0.507
